"questions","keys","datadic","value","valuelabels"
"56d. Physical problems without known medical cause: Problems with eyes (not if corrected by glasses)","ASR_56d","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"57. I physically attack people","ASR_57","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"58. I pick my skin or other parts of my body (describe):","ASR_58","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"59. I fail to finish things I should do","ASR_59","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"60. There is very little that I enjoy","ASR_60","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"61. My work performance is poor","ASR_61","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"62. I am poorly coordinated or clumsy","ASR_62","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"63. I would rather be with older people than with people of my own age","ASR_63","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"64. I have trouble setting priorities","ASR_64","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"65. I refuse to talk","ASR_65","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"66. I repeat certain acts over and over (describe):","ASR_66","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"67. I have trouble making or keeping friends","ASR_67","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"68. I scream or yell a lot","ASR_68","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"69. I am secretive or keep things to myself","ASR_69","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"70. I see things that other people think aren't there (describe)","ASR_70","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"71. I am self-conscious or eaily embarassed","ASR_71","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"72. I worry about my family","ASR_72","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"73. I meet responsibilities to my family","ASR_73","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"74. I show off or clown","ASR_74","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"75. I am too shy or timid","ASR_75","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"76. My behavior is irresponsible","ASR_76","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"77. I sleep more than most other people during the day and/or night","ASR_77","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"78. I have trouble making decisions","ASR_78","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"79. I have a speech problem (describe)","ASR_79","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"80. I stand up for my rights","ASR_80","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"81. My behavior is very changeable","ASR_81","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"82. I steal","ASR_82","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"83. I am easily bored","ASR_83","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"84. I do things that other people think are strange (describe):","ASR_84","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"85. I have thoughts that other people would think are strange (describe):","ASR_85","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"86. I am stubborn, sullen, or irritable","ASR_86","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"87. My moods or feelings change suddenly","ASR_87","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"88. I enjoy being with people","ASR_88","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"89. I rush into things without considering the risks","ASR_89","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"90. I drink too much alcohol or get drunk","ASR_90","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"91. I think about killing myself","ASR_91","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"92. I do things that may cause me trouble with the law","ASR_92","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"93. I talk too much","ASR_93","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"94. I tease others a lot","ASR_94","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"95. I have a hot temper","ASR_95","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"96. I am passive or lack initiative","ASR_96","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"97. I threaten to hurt people","ASR_97","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"98. I like to help others","ASR_98","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"99. I dislike staying in one place for very long","ASR_99","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"100. I have trouble sleeping","ASR_100","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"101. I stay away from my job even when I'm not sick or not on vacation","ASR_101","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"102. I don't have much energy ","ASR_102","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"103. I am unhappy, sad, or depressed","ASR_103","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"104. I am louder than others","ASR_104","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"105. People think I am disorganized","ASR_105","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"106. I try to be fair to others","ASR_106","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"107. I feel that I can't succeed","ASR_107","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"108. I tend to lose things","ASR_108","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"109. I like to try new things","ASR_109","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"110. I wish I were of the opposite sex","ASR_110","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"111. I keep from getting involved with others","ASR_111","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"112. I worry a lot","ASR_112","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"113. I worrk about my relations with the opposite sex","ASR_113","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"114. I fail to pay my debts or meet other financial responsibilities","ASR_114","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"115. I feel restless or fidgety","ASR_115","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"116. I get upset too easily","ASR_116","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"117. I have trouble managing money or credit cards","ASR_117","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"118. I am too impatient","ASR_118","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"119. I am not good at details","ASR_119","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"120. I drive too fast","ASR_120","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"121. I tend to be late for appointments","ASR_121","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"122. I have trouble keeping a job","ASR_122","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"123. I am a happy person","ASR_123","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"124. In the past 6 months, how many times per day did you use tobacco (including smokeless tobacco)","ASR_124","ASR","",""
"125. In the past 6 months, on how many days were you drunk?","ASR_125","ASR","",""
"126. In the past 6 months, on how many days did you use drugs for nonmedical purposes (including marijuana, cocaine, and other drugs, except alcohol and nicotine)?","ASR_126","ASR","",""
"Scores","","ASR","",""
"ASR Anxious/Depressed Score","ASR_AD","ASR","",""
"ASR Anxious/Depressed T-Score","ASR_AD_T","ASR","",""
"ASR Withdrawn Score","ASR_WD","ASR","",""
"ASR Withdrawn T-Score","ASR_WD_T","ASR","",""
"ASR Somatic Complaints Score","ASR_SC","ASR","",""
"ASR Somatic Complaints T-Score","ASR_SC_T","ASR","",""
"ASR Thought Problems Score","ASR_TP","ASR","",""
"ASR Thought Problems T-Score","ASR_TP_T","ASR","",""
"ASR Attention Problems Score","ASR_AP","ASR","",""
"ASR Attention Problems T-Score","ASR_AP_T","ASR","",""
"ASR Rule-Breaking Behavior Score","ASR_RBB","ASR","",""
"ASR Rule-Breaking Behavior T-Score","ASR_RBB_T","ASR","",""
"ASR Aggressive Behavior Score","ASR_AB","ASR","",""
"ASR Aggressive Behavior T-Score","ASR_AB_T","ASR","",""
"ASR Other Problems Score","ASR_OP","ASR","",""
"ASR Internalizing Score","ASR_Int","ASR","",""
"ASR Internalizing T-Score","ASR_Int_T","ASR","",""
"ASR Externalizing Score","ASR_Ext","ASR","",""
"ASR Externalizing T-Score","ASR_Ext_T","ASR","",""
"ASR Intrusive Score","ASR_Intrusive","ASR","",""
"ASR Intrusive T-Score","ASR_Intrusive_T","ASR","",""
"ASR C Score","ASR_C","ASR","",""
"ASR Total Score","ASR_Total","ASR","",""
"ASR Total Score T-Score","ASR_Total_T","ASR","",""
"is old-fashioned or precocious","ASSQ_01","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"is regarded as an ‘eccentric professor’ by the other children","ASSQ_02","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"lives somewhat in a world of his/her own with restricted idiosyncratic intellectual interests","ASSQ_03","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"accumulates facts on certain subjects (good rote memory) but does not really understand the meaning","ASSQ_04","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"has a literal understanding of ambiguous and metaphoric language (i.e. takes things literally; troubles understanding expressions or metaphors)","ASSQ_05","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"has a deviant style of communication with a formal, fussy, ‘old-fashioned’ or ‘robotlike’ language (i.e. talks differently than other children, in a formal or stilted way)","ASSQ_06","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"invents idiosyncratic words and expressions (i.e. makes up his or her own words, expressions or names for things)","ASSQ_07","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"has a different voice or speech","ASSQ_08","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"expresses sounds involuntarily; clears throat, grunts, smacks, cries or screams","ASSQ_09","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"is surprisingly good at some things and surprisingly poor at others","ASSQ_10","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"uses language freely but fails to make adjustments to fit social contexts or the needs of different listeners","ASSQ_11","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"lacks empathy (i.e. tends to see things only from his/her own perspective, and has troubles seeing things from other's perspective)","ASSQ_12","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"makes naïve and embarrassing remarks","ASSQ_13","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"has a deviant style of gaze (e.g. may range from not looking people in the eye, to the other extreme of staring directly at people to the point it makes them uncomfortable)","ASSQ_14","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"wishes to be sociable but fails to make relationships with peers","ASSQ_15","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"can be with other children but only on his/her terms","ASSQ_16","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"lacks best friend","ASSQ_17","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"lacks common sense","ASSQ_18","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"is poor at games; no idea of cooperating in a team, scores ‘own goals’","ASSQ_19","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"has clumsy, ill coordinated, ungainly, awkward movements or gestures","ASSQ_20","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"has involuntary face or body movements (i.e. any tics?)","ASSQ_21","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"has difficulties in completing simple daily activities because of compulsory repetition of certain actions or thoughts (i.e. any habits that s/he just has to do?)","ASSQ_22","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"has special routines; insists on no change (i.e. may need to have exactly the same change; troubles with even the slightest change in his/her environment, or routines or activities)","ASSQ_23","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"shows idiosyncratic attachment to objects (i.e. may get strangely attached to objects as if they were people)","ASSQ_24","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"is bullied by other children","ASSQ_25","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"has markedly unusual facial expression","ASSQ_26","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"has markedly unusual posture","ASSQ_27","ASSQ","0-2","0=No, 1=Somewhat, 2=Yes"
"Scores","","ASSQ","",""
"ASSQ Score","ASSQ_Total","ASSQ","0-54",""
"1. How often do you have a drink containing alcohol?","AUDIT_01","AUDIT","0-4","0=Never, 1=Monthly or Less, 2=Two to Four Times a Month, 3=Two to Three Times a Week, 4=Four or More Times a Week"
"2. How many drinks containing alcohol do you have on a typical day when you are drinking?","AUDIT_02","AUDIT","0-4","0='1 or 2', 1='3 or 4', 2='5 or 6', 3='7 to 9', 4='10 or more'"
"2a. Have you ever had at least three drinks on one occasion?","AUDIT_02_a","AUDIT","0-1","0=No, 1=Yes"
"2b. Have you ever had at least two drinks on one occasion?","AUDIT_02_b","AUDIT","0-1","0=No, 1=Yes"
"3. How often do you have six or more drinks on one occassion?","AUDIT_03","AUDIT","0-4","0=Never, 1=Less than Monthly, 2=Monthly, 3=Weekly, 4=Daily or Almost Daily"
"4. How often during the last year have you found that you were not able to stop drinking once you had started?","AUDIT_04","AUDIT","0-4","0=Never, 1=Less than Monthly, 2=Monthly, 3=Weekly, 4=Daily or Almost Daily"
"IF NEVER: 4a. Have you ever found that you were not able to stop drinking once you had started?","AUDIT_04_a","AUDIT","0-1","0=No, 1=Yes"
"5. How often during the last year have you failed to do what was normally expected of you because of drinking?","AUDIT_05","AUDIT","0-4","0=Never, 1=Less than Monthly, 2=Monthly, 3=Weekly, 4=Daily or Almost Daily"
"6. How often during the last year have you needed a first drink in the morning to get yourself going after a heavy drinking session?","AUDIT_06","AUDIT","0-4","0=Never, 1=Less than Monthly, 2=Monthly, 3=Weekly, 4=Daily or Almost Daily"
"7. How often during the last year have you had a feeling of guilt or remorse after drinking?","AUDIT_07","AUDIT","0-4","0=Never, 1=Less than Monthly, 2=Monthly, 3=Weekly, 4=Daily or Almost Daily"
"8. How often during the last year have you been unable to remember what happened the night before because you had been drinking?","AUDIT_08","AUDIT","0-4","0=Never, 1=Less than Monthly, 2=Monthly, 3=Weekly, 4=Daily or Almost Daily"
